,country,id,lat,lng,name,clouds,date,humidity,pressure,temp,temp_max,temp_min,wind_deg,wind_speed
188,KP,2043484,40.964169,129.327774,Kilju,0,2017-11-19 03:00:00,100,1020.34,-2.38,-2.38,-2.38,336.501,2.32
189,KP,2043531,41.090279,128.293335,Kapsan-up,0,2017-11-19 03:00:00,30,897.13,-10.08,-10.08,-10.08,321.001,2.52
190,KR,1832215,35.994171,129.345001,Enjitsu,12,2017-11-19 03:00:00,100,1032.99,2.23,4.2,2.23,303.001,7.27
191,KR,1835096,36.971401,126.454201,Taesal-li,0,2017-11-19 03:00:00,100,1039.23,0.79,1.47,0.79,3.0011,3.47
192,KZ,1517323,43.915001,67.248062,Zhangaqorghan,0,2017-11-19 03:00:00,72,1027.56,-8.55,-8.55,-8.56,39.0011,1.77
193,LA,1655087,18.933331,102.449997,Muang Vangviang,92,2017-11-19 03:00:00,100,911.64,19.92,19.92,19.92,93.0011,0.22
194,LK,1229293,8.0362,79.8283,Puttalam,8,2017-11-19 03:00:00,100,1023.02,26.27,26.27,26.27,85.5011,2.32
195,LY,2214433,31.868481,10.9812,Nalut,0,2017-11-19 03:00:00,82,976.49,4.02,4.02,4.02,256.001,1.07
196,LY,2219960,27.049999,14.4,Al Jadid,92,2017-11-19 03:00:00,34,978.19,7.65,7.65,7.65,57.5011,2.22
197,MG,1076194,-17.01667,48.583328,Andilamena,44,2017-11-19 03:00:00,89,913.91,13.82,13.82,13.82,121.001,1.07
198,MW,931865,-14.97928,34.95575,Balaka,92,2017-11-19 03:00:00,100,927.36,19.67,19.67,19.67,188.501,1.47
199,MX,3993893,27.91667,-101.416672,Palau,0,2017-11-19 03:00:00,56,975.76,13.4,13.4,13.4,13.0011,4.92
